Zone,PIB_2017,stabilite_politique_2017
Iraq,187217660050.676,-2.29594969749451
Irlande,348355212568.515,0.993410110473633
Islande,25060086487.8901,1.33768677711487
Israël,358451839052.991,-0.894905745983124
Italie,1970720904584.71,0.292910486459732
Jamaïque,15783583236.675,0.298303365707397
Japon,4930837369151.42,1.10012805461884
Jordanie,41608435915.493,-0.434586673974991
Kazakhstan,166805788827.233,0.0243496801704168
Kenya,82036510877.2599,-1.12843883037567
Kirghizistan,7702938379.42036,-0.362505912780762
Koweït,120687539805.505,-0.0512290969491005
Lesotho,2306741672.29006,-0.194124817848206
Lettonie,29391059767.4259,0.452954679727554
Liban,53027680685.9038,-1.62222766876221
Libéria,3390703400.0,-0.319722712039948
Lituanie,47756764508.446,0.765565991401672
Luxembourg,65712180342.9836,1.3128936290741
Macédoine du Nord,11307067069.6658,-0.258880764245987
Madagascar,13176313593.5509,-0.302837282419205
Malaisie,319109094160.343,0.111209630966187
Malawi,8943543793.5839,-0.249828174710274
Mali,18308362040.0521,-1.90349173545837
Malte,14161366724.1955,1.23830890655518
Maroc,118540573367.844,-0.37808883190155
Maurice,13896938315.2799,0.962365567684174
Mauritanie,6800135898.28827,-0.629497766494751
Mexique,1190721475906.0,-0.806419789791107
Mongolie,11480847740.736,0.783372223377228
Monténégro,4803962015.62122,-0.0625774934887886
Mozambique,13264640645.7768,-0.918098509311676
Myanmar,66053040475.0257,-1.08409464359283
Namibie,12895153370.9132,0.621906340122223
Nicaragua,13785893007.4769,-0.0538226664066315
Niger,11185104251.6943,-1.25950562953949
Nigéria,375745731053.427,-1.99671792984009
Norvège,401745275035.261,1.15070176124573
Nouvelle-Zélande,206745969246.073,1.56194603443146
Népal,28971588940.364,-0.583756744861603
Oman,80856697009.1027,0.749312877655029
Ouganda,30744473841.424,-0.569948732852936
Ouzbékistan,69703222282.7278,-0.244978666305542
Pakistan,339205534861.1,-2.39691209793091
Panama,64327688826.3137,0.380334168672562
